Swarm number,Date_M,Time_M,Lat_M,Lon_M,Lat_S,Lat_E,Lon_S,Lon_E,Depth,Length,Thickness,Sv_mean120,TS,ind m-3,surfpar,BDepth,fluo,ADCP w in swarm,ADCP w above midpoint,mask above swarm,ADCP w below swarm,mask below swarm,w in minus out,mid-depth ADCP bin,,,,,,
133,1/9/2003,10:21:20,-58.010,-55.74568582,-58.00940,-58.00975,-55.74569322,-55.74560965,35.026368,37.014677,18.191108,-55.822723,-74.63720476,76.111131,724.0055067,-4071,NaN,1.916,NaN,0,5.545,0,-3.630,3,,,,,,
137,1/9/2003,10:28:12,-58.031,-55.73913726,-58.03057,-58.03092,-55.73919831,-55.73908851,29.383897,38.452888,7.782186,-56.734022,-74.63720476,61.70470432,683.6488467,-4071,NaN,4.739,NaN,0,1.513,0,3.227,2,,,,,,
138,1/9/2003,10:29:41,-58.035,-55.73772385,-58.03471,-58.03607,-55.73791703,-55.73748928,29.898141,153.274648,10.756164,-56.477559,-74.63720476,65.4582779,694.7873867,-4071,NaN,2.521,-0.202,0,0.303,0,2.470,2,,,,,,
139,1/9/2003,10:30:35,-58.038,-55.73677852,-58.03808,-58.03846,-55.73684601,-55.73675389,31.824753,41.657063,6.295197,-57.731219,-74.63720476,49.04543328,676.70782,-4071,NaN,5.344,-0.202,0,0.303,0,5.294,3,,,,,,
140,1/9/2003,10:30:56,-58.039,-55.73644644,-58.03908,-58.03959,-55.73651913,-55.73635871,55.578007,53.236347,8.711554,-63.197562,-74.63720476,13.93042209,676.70782,-4071,NaN,4.638,0.303,0,7.260,0,0.857,6,,,,,,
150,1/9/2003,10:49:08,-58.096,-55.71917009,-58.09595,-58.09626,-55.71919119,-55.7190872,24.417922,36.349404,7.782186,-64.797405,-74.63720476,9.637845845,577.59946,-4112,0.175792,0.706,NaN,NaN,3.832,0,-3.126,2,,,,,,
151,1/9/2003,10:57:49,-58.123,-55.71156484,-58.12235,-58.12276,-55.71162884,-55.71149075,50.031479,40.793757,4.064714,-53.592996,-74.63720476,127.1806018,718.8065933,-4102,0.175792,5.345,4.437,0,NaN,1,0.908,5,,,,,,
152,1/9/2003,10:58:02,-58.123,-55.71134278,-58.12297,-58.12349,-55.71146443,-55.71130912,49.403335,53.771319,5.92345,-59.82424,-74.63720476,30.28980487,718.8065933,-4102,0.175792,5.345,4.437,0,NaN,1,0.908,5,,,,,,
153,1/9/2003,10:58:42,-58.125,-55.71081167,-58.12469,-58.12594,-55.71098946,-55.71065977,55.297398,132.433703,4.994082,-51.633353,-74.63720476,199.7032697,757.9012333,-4102,0.175792,9.077,4.437,0,8.875,0,2.420,6,,,,,,
154,1/9/2003,11:01:03,-58.132,-55.70865434,-58.13209,-58.13251,-55.70870096,-55.70856719,52.765976,41.112113,4.622335,-55.312554,-74.63720476,85.59828738,777.5994467,-4102,0.175792,14.118,14.522,0,15.026,0,-0.656,5,,,,,,
